product name,serial no ,plan type,type,users,expiry date,company,designation,contact person,mobile,landline,email,addres 1 ,address 2,city,state,in sell ,out sell,dealer,status ,remarks   
Seqrite Endpoint Security Total,2F5F61561015B7E100A24,None,EPS,10,08-01-2021,BRYS FORT HOTEL,Director,Rajesh,15981791137,15981791137,"it.jaiput@clarksinn.in,writerish07@gmail.com",add1 ,add2,Jaipur,RAJASTHA ,,TINU INTERNATIONAL,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A25,None,EPS,15,06-12-2020,BHILWARA URBAN CO.BANK,HR,Kamal ,17331155035,17331155035,akmefintrade@yahoo.com,add1 ,add2,Jaipur,RAJASTHA ,,Wi2Fi Networks,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A26,None,EPS,135,08-01-2021,BMCHRC,Director,Dipankar,18680518932,18680518932,jaipur@air.org.in,add1 ,add2,Jodhpur,RAJASTHA ,,Creadent Solutions,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A27,None,EPS,10,06-12-2020,Bomabay Hospital Trust Jaipur,HR,Kamal ,20029882829,20029882829,aseschem@gmail.com,add1 ,add2,Jaipur,RAJASTHA ,,Computer Garage,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A28,None,EPS,15,08-01-2021,BRYS FORT HOTEL,Director,Kamal ,Ashok Jangid-7221860262,Ashok Jangid-7221860262,it@basant.info,add1 ,add2,Jaipur,RAJASTHA ,,BISPL,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A29,None,EPS,135,06-12-2020,BHILWARA URBAN CO.BANK,HR,Dipankar,10122493920,10122493920,rajesh123@gmail.com,add1 ,add2,Udaipur,RAJASTHA ,,Computer Garage,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A30,None,EPS,10,08-01-2021,BMCHRC,Director,khubi,10133408545,10133408545,"it.jaiput@clarksinn.in,writerish07@gmail.com",add1 ,add2,Jaipur,RAJASTHA ,,BISPL,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A31,None,EPS,15,06-12-2020,Bomabay Hospital Trust Jaipur,HR,Rajesh,10144323169,10144323169,"it.jaiput@clarksinn.in,writerish07@gmail.com",add1 ,add2,Jodhpur,RAJASTHA ,,Frontline Computers,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A32,None,EPS,135,08-01-2021,BRYS FORT HOTEL,Director,Kamal ,21379246727,21379246727,"it.jaiput@clarksinn.in,writerish07@gmail.com",add1 ,add2,JODHPUR,RAJASTHA ,,SHREE BALAJI TECHNOLOGIES,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A33,None,EPS,10,06-12-2020,BHILWARA URBAN CO.BANK,HR,Dipankar,22728610624,22728610624,akmefintrade@yahoo.com,add1 ,add2,Bhilwara,RAJASTHA ,,compusys,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A34,None,EPS,15,08-01-2021,BMCHRC,Director,Kamal ,24077974522,24077974522,jaipur@air.org.in,add1 ,add2,Jaipur,RAJASTHA ,,TINU INTERNATIONAL,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A35,None,EPS,135,06-12-2020,Bomabay Hospital Trust Jaipur,HR,Kamal ,25427338419,25427338419,aseschem@gmail.com,add1 ,add2,Jaipur,RAJASTHA ,,Wi2Fi Networks,xyz,QUOTED,Remarks updated
Seqrite Endpoint Security Total,2F5F61561015B7E100A36,None,EPS,10,08-01-2021,BRYS FORT HOTEL,Director,Dipankar,Ashok Jangid-7221860262,Ashok Jangid-7221860262,it@basant.info,add1 ,add2,Jodhpur,RAJASTHA ,,Creadent Solutions,xyz,QUOTED,Remarks updated
